CustomerID,Age,AnnualIncome_k,SpendingScore,MembershipTier
3522515,26,53,79,Basic
12371624,56,101,85,VIP
11345331,34,91,66,Premium
14508538,31,84,88,Premium
4366386,8,62,98,VIP
5724210,40,78,99,Premium
11566824,55,96,98,Basic
9176719,51,61,90,Basic
15163663,15,118,95,VIP
613467,43,54,99,Premium
1178985,41,91,93,Premium
10282830,49,87,99,Premium
13186811,52,38,85,Premium
3464318,62,98,47,Basic
5177755,56,111,81,VIP
8745098,38,64,81,Basic
15429148,62,77,99,Premium
719970,43,75,64,Premium
9938690,51,93,56,Premium
1098520,56,98,34,VIP
11156171,62,88,45,Basic
11332070,56,87,92,Basic
15859921,18,122,99,VIP
2077640,62,101,35,Premium
12871238,50,76,69,Premium
4692407,62,77,73,Premium
7301024,36,51,99,VIP
12763772,33,98,99,VIP
15031410,33,59,99,Basic
394257,52,64,94,Basic
13542961,23,46,59,Premium
12672065,62,102,99,Premium
14083321,53,91,99,Premium
10673613,41,66,74,Basic
5312607,30,55,99,Premium
973536,56,104,46,VIP
10054776,62,82,63,Basic
7726170,62,43,98,VIP
4696764,43,122,99,VIP
16416772,41,63,99,Premium
11843356,62,96,55,VIP
9899571,48,72,58,Premium
4583936,55,122,90,Premium
2037502,51,107,99,VIP
3650892,57,101,82,Premium
9306948,49,35,62,Basic
11898390,62,78,89,Basic
13903327,37,48,99,Premium
7686904,41,29,45,Basic
6451366,47,80,78,Premium
6818066,30,104,76,VIP
2459899,42,95,56,Basic
15314998,48,57,7,Premium
16373935,32,69,99,Basic
8507835,61,35,58,Basic
10118582,61,120,71,Basic
6801531,60,77,76,Basic
1074219,47,85,99,Basic
4260077,50,98,38,Basic
269092,26,100,73,VIP
2786973,57,67,99,Premium
9927545,43,91,99,Basic
896443,62,104,99,Premium
14380433,55,56,99,Premium
15588184,35,72,46,Basic
8848462,62,58,99,VIP
1953920,45,93,75,VIP
9932384,45,57,73,VIP
14539020,49,115,99,Premium
14126299,46,119,99,Premium
4473966,49,95,99,Basic
11030394,50,85,99,Basic
2413620,44,108,58,VIP
7478627,29,117,99,VIP
16184431,48,104,70,Premium
16601563,55,52,99,Basic
1572942,51,82,99,Premium
12491024,40,90,99,Basic
1531088,34,77,59,VIP
11562796,48,43,55,Basic
16049867,33,114,99,Basic
12140403,27,116,99,Premium
6112474,40,81,40,Premium
9049457,30,74,99,Basic
9395733,55,91,99,Premium
14508672,59,104,99,Premium
6941838,44,117,98,Basic
8941869,37,57,99,VIP
2040412,33,99,29,Premium
11113347,31,68,99,VIP
4434730,36,68,99,Premium
3347741,49,102,99,Premium
3532732,25,47,99,Premium
16059530,57,86,99,Basic
15940289,62,106,99,Basic
13991548,46,70,52,VIP
4724050,47,88,99,Basic
13124362,42,90,99,VIP
7461268,59,106,99,Premium
4992562,43,103,99,Basic
10263319,45,66,99,Basic
4853866,29,101,99,Basic
14558946,41,70,99,Premium
9167358,50,56,71,Basic
12299486,40,79,99,Basic
11704973,49,93,99,Premium
6003192,33,103,99,Premium
11540665,52,46,95,Premium
13249612,51,78,99,Basic
708836,38,54,1,Premium
8602806,36,80,73,Basic
7415713,62,57,55,Premium
6841905,57,84,61,VIP
13066489,33,71,80,VIP
3316502,12,34,74,Premium
13838778,57,86,99,Premium
4111426,42,70,81,Premium
2845602,52,95,99,Premium
12365961,46,65,99,Basic
5977932,18,101,99,Premium
16240381,29,87,84,Premium
2381821,38,95,94,Basic
652596,24,71,45,Basic
11874776,62,80,94,Premium
14867702,49,118,79,Basic
6507739,45,115,75,VIP
11445139,43,48,99,VIP
12889580,60,99,42,Basic
13861579,26,74,55,Premium
8664127,62,74,74,Premium
12425185,36,54,50,Basic
4411921,52,54,99,Basic
10047105,37,99,99,Premium
7705900,41,95,73,VIP
10703899,49,83,99,Premium
3976693,45,36,38,Premium
13979909,40,37,75,Premium
9027993,62,57,99,Basic
4976018,45,88,99,Basic
5084844,62,95,99,VIP
10953263,47,84,66,Basic
15511867,39,33,99,Premium
12429253,51,52,75,Basic
8363784,54,105,99,VIP
8393722,49,76,82,Premium
14864653,47,72,99,Basic
3307831,32,85,99,VIP
2918197,50,107,94,Basic
3029035,45,35,43,Premium
3706696,43,72,62,Premium
16177594,56,90,99,Basic
10894176,62,105,99,VIP
3711320,39,98,99,Basic
12610682,43,85,89,Basic
3961861,33,69,99,Basic
11616860,45,65,59,Basic
10720784,51,30,46,Basic
3996676,62,95,58,Basic
12465882,57,106,99,VIP
8600326,44,54,79,Basic
2940444,24,87,73,VIP
15904535,56,97,69,Basic
10947617,57,59,75,Premium
11748111,48,94,99,Premium
12820594,55,73,75,VIP
8150361,55,96,99,Basic
2487026,51,54,98,Basic
6493139,59,90,99,Premium
15731866,53,100,57,VIP
3026754,41,100,99,Basic
3971704,58,77,40,VIP
1623298,51,23,99,Basic
6537652,42,108,99,Premium
15370407,36,79,99,VIP
2722045,52,74,76,Premium
2240804,51,82,44,Basic
13301928,59,99,18,Basic
2497998,62,81,99,Premium
1598366,40,32,73,Premium
9594616,38,117,99,Premium
3965819,31,81,99,Premium
9321204,54,82,99,Basic
629683,27,75,42,Premium
16737978,62,77,99,Basic
12249667,53,122,74,VIP
6710468,49,33,88,Premium
13243921,40,86,99,Premium
10978946,24,92,98,VIP
9610547,27,45,29,Premium
2646204,41,80,86,Premium
6774128,21,80,71,Basic
1465074,51,39,99,Premium
16213439,54,122,79,VIP
4842901,62,122,95,Basic
7944169,19,87,99,VIP
12714370,42,90,99,Premium
16347933,26,83,99,Premium
7378103,48,92,99,Basic
15367177,58,81,38,VIP
12916680,47,102,50,Basic
15990945,25,69,42,Premium
3387843,44,81,99,Premium
15146648,59,46,52,Basic
11672898,58,45,38,Premium
7716591,31,45,90,Premium
7014047,62,103,99,Basic
16545954,22,90,99,VIP
4780736,43,77,99,VIP
15939811,49,76,99,Basic
13823567,55,83,99,Basic
13216615,34,65,99,Premium
9832608,50,69,40,Basic
16642827,41,68,99,Basic
3598360,35,47,57,Premium
9484019,30,69,33,Premium
7209305,21,55,22,Basic
7850413,46,76,70,VIP
7190963,48,79,99,Premium
5854720,51,48,97,Basic
4072482,32,119,99,Premium
12216714,54,102,84,VIP
1372483,47,99,99,Premium
14213686,62,69,30,Basic
16554194,50,106,93,Basic
8245718,36,109,99,Basic
16265842,50,84,99,Premium
3568235,46,52,57,Premium
16422395,52,43,89,Basic
6728891,52,78,90,Premium
9057938,58,84,21,Basic
4227495,60,85,99,Basic
14140591,59,100,99,Basic
15250969,51,84,99,Basic
7736975,62,75,91,Basic
14828992,40,82,99,Basic
11034805,53,78,15,Basic
15849163,44,93,19,VIP
11072901,45,108,77,VIP
197432,58,78,1,Basic
16243712,38,52,74,VIP
12154859,37,92,99,Basic
12801611,39,104,93,VIP
4563626,39,76,46,Basic
8613121,62,61,34,Basic
625497,47,113,22,VIP
12316796,48,83,99,VIP
14148979,60,78,99,Premium
14250089,35,87,85,VIP
5989171,60,83,1,Premium
10601357,46,58,99,Premium
9889940,50,88,82,Basic
8280627,59,98,99,Premium
13930862,41,84,84,VIP
6411500,34,81,55,Basic
4893806,39,119,99,VIP
10319160,41,99,85,Basic
12980192,22,79,99,Basic
8147925,57,78,76,Basic
10960108,31,47,99,Basic
13029533,52,106,99,VIP
11720139,47,101,99,VIP
10782491,61,96,74,Basic
5326305,23,66,99,VIP
16514295,32,81,99,VIP
4546408,35,92,99,Basic
5551893,62,90,47,Basic
4131639,62,78,63,Basic
4638107,52,122,99,Premium
14104039,62,88,91,Basic
2140926,62,89,61,Basic
2596708,30,92,63,Basic
4157294,55,90,99,Basic
5811070,45,27,54,Basic
13500322,47,122,99,Premium
11822679,50,83,94,Premium
5158053,51,122,98,VIP
13984183,55,69,99,Premium
899261,58,85,80,VIP
12908260,19,50,99,Premium
16668364,61,107,77,Basic
16068634,34,93,99,VIP
7587272,30,97,99,VIP
10736204,51,73,93,Premium
1037254,50,97,99,Premium
1010283,27,73,99,Premium
8859070,58,96,99,Basic
13826907,48,103,99,Premium
14312140,38,59,99,Premium
13521720,28,50,99,VIP
14969332,57,92,70,Basic
14952845,39,98,86,VIP
9555324,48,84,99,Premium
2316970,45,112,99,Basic
11384366,59,100,75,Premium
7468795,27,105,67,Basic
9819105,32,76,99,VIP
3877415,60,65,99,Premium
16243407,35,91,74,Premium
796176,45,102,2,VIP
11229928,40,65,99,Basic
4527132,58,74,59,VIP
2763692,34,65,99,VIP
13639680,34,77,99,Basic
9197068,26,69,62,Basic
3941406,45,83,29,Basic
3368779,50,112,99,Basic
12741508,45,68,49,VIP
15371704,40,71,93,Premium
5557182,51,74,98,VIP
4971914,57,102,99,VIP
6179155,56,90,77,Basic
6822107,11,70,99,Basic
14272084,35,61,32,Premium
10128664,59,68,78,Premium
13187095,33,74,99,Basic
14884190,62,86,50,Premium
931739,31,42,94,Premium
3188439,23,81,1,VIP
2681329,38,79,38,Premium
12732970,42,59,52,Basic
5389278,60,69,44,Premium
7714185,38,86,99,Premium
3158727,45,95,74,Basic
5987632,48,87,99,VIP
13204400,50,105,52,Premium
1490741,30,77,64,VIP
6810845,24,108,51,Premium
9189608,49,81,59,VIP
3654264,37,88,73,Premium
5688849,50,47,73,Basic
8111013,42,88,99,Basic
6915901,27,78,1,VIP
2462356,62,92,99,Basic
4042119,62,56,85,Basic
12088834,54,86,66,VIP
7431873,37,92,99,VIP
6632320,31,69,89,Premium
16536003,56,62,65,Basic
10204348,17,76,87,VIP
15215395,52,67,42,Premium
647196,25,119,99,Premium
15861826,50,61,50,Premium
15211916,59,79,81,Premium
4206291,48,91,5,Basic
2560737,48,88,99,VIP
2345349,58,85,79,VIP
5702839,60,45,74,Basic
1486182,32,103,96,Basic
4258410,47,64,99,VIP
12407528,55,94,99,Premium
5456094,54,79,99,Basic
6596402,46,107,99,Basic
1933551,51,61,88,Basic
7183265,55,43,94,Basic
4590779,59,60,43,VIP
4343364,40,79,50,VIP
3932558,59,104,38,VIP
1282887,50,81,91,Basic
2246564,48,86,52,VIP
3270642,49,73,99,VIP
11650326,51,58,85,Basic
9833559,55,92,99,VIP
13639628,62,85,28,Basic
9104647,52,75,50,Basic
11278195,41,79,99,Premium
11557420,57,89,64,Basic
4589027,58,76,92,Basic
14917296,54,91,99,Basic
13487194,29,50,39,Premium
14833061,58,70,99,Basic
7245116,55,115,91,VIP
10200865,33,86,70,Premium
14515766,47,96,93,Basic
11881356,55,58,65,Premium
1932114,52,92,14,Basic
13935199,58,102,99,Premium
3686006,47,61,64,Premium
863602,54,69,65,Basic
10523864,48,105,95,Basic
8159195,49,73,97,Basic
1858123,59,45,99,Premium
423047,55,52,56,Basic
12848601,45,87,90,Premium
9369633,59,109,99,Premium
